Target,Rate,RequestCount,RequestPerSecond,TotalDuration,AttackDuration,WaitDuration,MeanLatency,50Latency,90Latency,95Latency,MaxLatency,BytesInTotal,BytesInMean,BytesOutTOtal,BytesOutMean,SuccessRatio,StatusCode0,StatusCode2xx,StatusCode4xx,StatusCode5xx,StatusCodeOther,Error
spring-boot-jpa,100,500,100.2,8322459836,4989999916,3332459920,2417971061,2650136033,3612568247,3734854379,3756569601,29000,58.0,7500,15.0,100.0,0,500,0,0,0,
spring-boot-jpa,250,1250,250.2,20850922071,4995999938,15854922133,8826834787,8942031140,15730555657,15875944646,15933850971,72500,58.0,18750,15.0,100.0,0,1250,0,0,0,
spring-boot-jpa,500,2500,500.2,21121199050,4997999917,16123199133,5091134655,1296069267,16693999367,17089703979,17369807127,73718,29.49,19065,7.63,50.84,1229,1271,0,0,0,Post http://localhost:8080/items/: dial tcp 0.0.0.0:0->127.0.0.1:8080: socket: too many open files
spring-boot-jpa,1000,5000,999.74,21066932435,5001306610,16065625825,2621210069,356163,16341359263,16994865454,17565332551,73254,14.65,18945,3.79,25.26,3737,1263,0,0,0,Post http://localhost:8080/items/: dial tcp 0.0.0.0:0->127.0.0.1:8080: socket: too many open files
spring-boot-jpa,5000,25000,4999.83,22886554591,5000167004,17886387587,573173868,739040,1457772811,18312545618,20132420119,71978,2.88,18615,0.74,4.96,23759,1241,0,0,0,Post http://localhost:8080/items/: dial tcp 0.0.0.0:0->127.0.0.1:8080: socket: too many open files
spring-boot-jpa,10000,50000,9998.45,21754610071,5000775840,16753834230,316682244,1767434,381016267,14331342475,19380399888,70934,1.42,18345,0.37,2.45,48777,1223,0,0,0,Post http://localhost:8080/items/: dial tcp 0.0.0.0:0->127.0.0.1:8080: socket: too many open files
spring-boot-jdbc-template,100,500,100.2,4997600433,4989999918,7600515,4452829,4106754,7032008,8539804,10395385,29000,58.0,7500,15.0,100.0,0,500,0,0,0,
spring-boot-jdbc-template,250,1250,250.2,4998224051,4995999897,2224154,3279002,2944300,5092243,6219529,9245375,72500,58.0,18750,15.0,100.0,0,1250,0,0,0,
spring-boot-jdbc-template,500,2500,500.2,4999681984,4997999927,1682057,2172248,1882161,3539967,6287790,13614521,145000,58.0,37500,15.0,100.0,0,2500,0,0,0,
spring-boot-jdbc-template,1000,5000,1000.2,5000455787,4998999918,1455869,2090599,1718823,4555822,7648113,17092786,290000,58.0,75000,15.0,100.0,0,5000,0,0,0,
spring-boot-jdbc-template,5000,25000,4999.98,5006291613,5000017485,6274128,47277012,9502775,284402852,429345993,638329655,1368322,54.73,352635,14.11,93.96,1491,23489,0,20,0,Post http://localhost:8080/items/: dial tcp 0.0.0.0:0->127.0.0.1:8080: socket: too many open files
spring-boot-jdbc-template,10000,50000,9990.95,5050825177,5004527554,46297623,150639740,132675039,342150079,489602042,891992346,2002576,40.05,514680,10.29,68.52,15688,34260,0,52,0,Post http://localhost:8080/items/: dial tcp 0.0.0.0:0->127.0.0.1:8080: socket: too many open files
vertx-jdbc,100,500,100.2,4993665817,4989999748,3666069,2812634,2728047,3234298,5532396,6514389,29000,58.0,7500,15.0,100.0,0,500,0,0,0,
vertx-jdbc,250,1250,250.2,5001363863,4995999699,5364164,2526446,2446519,3134091,5553464,8428800,72500,58.0,18750,15.0,100.0,0,1250,0,0,0,
vertx-jdbc,500,2500,500.2,5000198992,4997999816,2199176,2275258,2098774,3261227,6744294,9514118,145000,58.0,37500,15.0,100.0,0,2500,0,0,0,
vertx-jdbc,1000,5000,1000.2,5000993987,4998999742,1994245,2232416,1882431,4877353,8009128,15200282,290000,58.0,75000,15.0,100.0,0,5000,0,0,0,
vertx-jdbc,5000,25000,5000.2,5012011082,4999799814,12211268,4158419,2183816,12350213,40802533,70081728,1450000,58.0,375000,15.0,100.0,0,25000,0,0,0,
vertx-jdbc,10000,50000,10000.2,5086236274,4999899875,86336399,96566101,104428392,172307883,196656575,282534057,2305036,46.1,596130,11.92,79.48,10258,39742,0,0,0,Post http://localhost:8080/items/: dial tcp 0.0.0.0:0->127.0.0.1:8080: socket: too many open files
vertx-async,100,500,100.2,4993647417,4989999785,3647632,4363165,4483021,6449936,7790696,11692242,29000,58.0,7500,15.0,100.0,0,500,0,0,0,
vertx-async,250,1250,250.2,4999177619,4995999801,3177818,3217695,3203413,4220683,8170726,20982455,72500,58.0,18750,15.0,100.0,0,1250,0,0,0,
vertx-async,500,2500,500.2,5000258350,4997999759,2258591,2402288,2192672,4245374,7661645,15269818,145000,58.0,37500,15.0,100.0,0,2500,0,0,0,
vertx-async,1000,5000,1000.2,5000856397,4998999696,1856701,2345431,1922350,5460570,10298688,19031831,290000,58.0,75000,15.0,100.0,0,5000,0,0,0,
vertx-async,5000,25000,5000.2,5003803429,4999799853,4003576,14205561,1716091,99783354,138247669,226507776,1450000,58.0,375000,15.0,100.0,0,25000,0,0,0,
vertx-async,10000,50000,10000.2,5006469303,4999899910,6569393,15827739,6014498,69535157,130170089,232970542,2883992,57.68,745860,14.92,99.45,276,49724,0,0,0,Post http://localhost:8080/items/: dial tcp 0.0.0.0:0->127.0.0.1:8080: socket: too many open files
